X3M,X6M,X1Y,X3Y,X5Y,X10Y,X15Y,X20Y,X30Y
0.76,0.68,0.97,2.14,2.84,3.88,4.37,4.55,4.42
2.35,2.33,2.34,2.75,3.26,4.09,4.48,4.68,4.88
3.85,3.68,3.45,3.3,3.54,4.12,4.43,4.6,4.78
0.81,0.77,0.91,2.04,2.91,4.12,4.59,4.71,4.55
3.45,3.61,3.75,3.79,3.8,3.89,3.96,4.01,4.05
0.83,0.78,0.98,2.14,2.93,4.1,4.61,4.76,4.56
3.92,4.1,4.31,4.51,4.55,4.64,4.7,4.74,4.78
3.84,3.67,3.44,3.2,3.4,4.02,4.37,4.57,4.76
3.87,3.9,3.93,3.95,4.01,4.22,4.36,4.45,4.54
3.95,3.92,3.86,3.87,4.02,4.44,4.71,4.86,5.03
3.87,3.93,4.0,4.02,4.06,4.27,4.41,4.49,4.57
3.81,3.7,3.55,3.43,3.59,4.05,4.33,4.5,4.67
0.55,0.55,0.74,1.9,2.74,3.91,4.39,4.53,4.4
3.98,4.11,4.23,4.27,4.28,4.36,4.43,4.48,4.53
3.58,3.71,3.84,3.92,3.95,4.07,4.14,4.19,4.24
0.82,0.79,0.98,2.16,3.0,4.13,4.58,4.73,4.66
3.87,3.91,3.93,3.91,3.98,4.35,4.6,4.74,4.89
3.87,3.9,3.92,3.95,4.01,4.23,4.37,4.46,4.54
3.81,3.86,3.93,4.04,4.14,4.38,4.52,4.6,4.68
3.62,3.71,3.78,3.77,3.79,3.92,4.0,4.06,4.11
3.88,3.9,3.92,3.95,4.0,4.19,4.34,4.43,4.54
2.09,2.0,2.1,2.8,3.23,3.82,4.07,4.13,3.93
3.98,4.07,4.16,4.23,4.27,4.4,4.49,4.54,4.6
1.68,1.69,1.79,2.42,2.93,3.67,3.94,3.96,3.65
3.26,3.68,3.19,3.38,3.77,4.08,4.18,4.23,4.29
2.21,2.17,2.17,2.63,3.16,3.91,4.22,4.38,4.54
3.83,3.89,3.9,3.79,3.87,4.21,4.41,4.53,4.64
3.71,3.83,3.93,3.96,3.94,4.03,4.13,4.2,4.29
3.9,3.98,4.08,4.11,4.12,4.4,4.63,4.76,4.9
3.66,3.77,3.86,3.82,3.82,3.93,4.02,4.08,4.15
3.87,3.85,3.81,3.77,3.86,4.19,4.41,4.54,4.67
3.88,3.75,3.57,3.44,3.65,4.17,4.46,4.61,4.77
3.61,3.74,3.86,3.91,3.92,4.01,4.08,4.12,4.16
3.89,3.81,3.69,3.55,3.67,4.1,4.39,4.56,4.73
3.93,3.89,3.85,3.86,3.98,4.26,4.42,4.51,4.6
3.48,3.64,3.78,3.84,3.85,3.94,4.02,4.08,4.13
3.92,4.09,4.28,4.44,4.47,4.56,4.63,4.67,4.72
3.83,3.71,3.51,3.28,3.43,4.03,4.43,4.66,4.9
3.9,3.91,3.94,3.99,4.03,4.21,4.36,4.45,4.56
0.79,0.75,0.93,2.03,2.82,3.98,4.5,4.65,4.46
3.91,4.05,4.22,4.41,4.45,4.57,4.67,4.74,4.82
3.9,3.84,3.74,3.64,3.76,4.16,4.43,4.6,4.77
3.89,4.0,4.13,4.16,4.17,4.43,4.65,4.78,4.92
3.79,3.91,4.03,4.07,4.07,4.15,4.25,4.31,4.39
0.86,0.88,1.07,2.06,2.78,3.86,4.34,4.49,4.29
3.76,3.62,3.46,3.37,3.56,4.04,4.33,4.49,4.67
0.8,0.76,0.9,1.96,2.77,3.94,4.46,4.63,4.45
3.75,3.67,3.58,3.66,3.9,4.34,4.53,4.63,4.73
3.86,3.89,3.92,3.89,3.95,4.2,4.37,4.46,4.56
3.62,3.74,3.83,3.84,3.85,3.94,4.01,4.06,4.11
3.85,4.01,4.17,4.26,4.26,4.33,4.4,4.46,4.53
3.84,3.89,3.95,4.0,4.04,4.25,4.4,4.48,4.57
3.67,3.78,3.87,3.83,3.81,3.88,3.97,4.03,4.1
3.86,4.03,4.21,4.35,4.36,4.42,4.5,4.55,4.61
3.71,3.66,3.6,3.66,3.88,4.34,4.58,4.71,4.84
3.83,3.74,3.6,3.47,3.61,4.06,4.34,4.5,4.66
3.91,3.86,3.77,3.69,3.8,4.19,4.48,4.65,4.83
3.85,3.88,3.91,3.95,4.0,4.21,4.36,4.45,4.53
3.93,4.1,4.3,4.5,4.54,4.62,4.69,4.73,4.77
3.54,3.68,3.8,3.88,3.93,4.05,4.13,4.17,4.21
0.81,0.8,1.08,2.37,3.18,4.25,4.65,4.74,4.63
0.75,0.72,0.92,2.1,2.93,4.05,4.5,4.65,4.62
1.62,1.58,1.66,2.39,2.97,3.82,4.2,4.32,4.14
3.87,3.72,3.49,3.22,3.39,4.01,4.39,4.61,4.83
3.88,4.04,4.23,4.38,4.4,4.47,4.55,4.6,4.67
3.8,3.91,4.03,4.1,4.1,4.19,4.28,4.34,4.41
0.82,0.79,0.94,1.95,2.7,3.8,4.27,4.4,4.14
1.75,1.77,1.87,2.46,2.96,3.68,3.95,3.97,3.65
3.76,3.89,4.01,4.07,4.08,4.18,4.28,4.34,4.42
1.36,1.23,1.32,2.27,2.91,3.82,4.24,4.38,4.24
3.74,3.86,3.98,4.01,4.01,4.12,4.22,4.29,4.37
0.73,0.7,0.9,2.01,2.79,3.93,4.44,4.59,4.38
3.89,3.95,4.02,4.02,4.05,4.35,4.58,4.72,4.86
1.24,1.14,1.24,2.19,2.87,3.89,4.38,4.58,4.5
3.93,4.11,4.3,4.46,4.49,4.57,4.64,4.69,4.74
3.69,3.79,3.88,3.88,3.87,3.98,4.09,4.16,4.24
0.81,0.79,0.98,2.17,3.02,4.18,4.62,4.75,4.65
0.84,0.84,1.07,2.11,2.83,3.91,4.4,4.54,4.34
3.9,3.91,3.92,3.89,3.98,4.34,4.56,4.68,4.8
3.54,3.68,3.82,3.9,3.92,4.01,4.07,4.11,4.16
0.79,0.77,1.04,2.3,3.1,4.17,4.57,4.68,4.59
0.87,0.78,0.96,2.08,2.81,3.89,4.39,4.56,4.4
3.87,3.88,3.88,3.82,3.88,4.16,4.34,4.45,4.55
4.23,4.34,4.48,4.58,4.56,4.68,4.8,4.87,4.95
3.87,3.92,3.97,3.99,4.03,4.25,4.39,4.47,4.55
3.88,3.81,3.71,3.61,3.72,4.14,4.42,4.6,4.77
3.4,3.47,3.11,3.45,3.96,4.38,4.52,4.6,4.67
3.88,3.9,3.91,3.92,4.01,4.36,4.6,4.73,4.87
3.57,3.71,3.84,3.91,3.94,4.04,4.11,4.15,4.2
0.89,0.75,0.97,2.13,2.83,3.84,4.32,4.5,4.39
3.88,3.8,3.68,3.53,3.65,4.07,4.34,4.49,4.64
3.83,3.92,4.04,4.18,4.24,4.43,4.57,4.65,4.74
3.89,3.76,3.56,3.31,3.45,4.02,4.39,4.61,4.84
0.74,0.74,0.96,2.0,2.72,3.79,4.24,4.36,4.12
4.01,4.0,3.99,4.02,4.1,4.3,4.44,4.52,4.61
3.91,3.89,3.87,3.88,3.98,4.31,4.56,4.74,4.93
0.8,0.79,1.01,2.07,2.79,3.88,4.38,4.54,4.36
4.26,4.23,4.16,3.99,4.02,4.3,4.51,4.62,4.74
3.91,3.83,3.72,3.58,3.7,4.13,4.42,4.59,4.77
3.93,3.91,3.89,3.91,4.0,4.24,4.4,4.49,4.59
4.27,4.25,4.19,4.03,4.05,4.35,4.57,4.69,4.82
0.44,0.46,0.73,1.93,2.76,3.93,4.4,4.51,4.26
3.84,3.89,3.9,3.84,3.9,4.21,4.42,4.54,4.67
4.2,4.28,4.39,4.44,4.42,4.55,4.71,4.82,4.92
